scan,cluster
SPRING1390,C3
SPRING1391,C6
SPRING1396,C3
SPRING1399,C5
SPRING1400,C1
SPRING1401,C4
SPRING1403,C3
SPRING1405,C5
SPRING1407,C6
SPRING1409,C7
SPRING1410,C1
SPRING1413,C7
SPRING1414,C1
SPRING1415,C3
SPRING1416,C7
SPRING1417,C1
SPRING1418,C5
SPRING1419,C3
SPRING1420,C5
SPRING1421,C4
SPRING1422,C3
SPRING1423,C1
SPRING1424,C2
SPRING1426,C2
SPRING1427,C2
SPRING1431,C7
SPRING1432,C3
SPRING1433,C7
SPRING1434,C3
SPRING1435,C3
SPRING1436,C2
SPRING1441,C6
SPRING1442,C7
SPRING1448,C3
SPRING1449,C3
SPRING1451,C2
SPRING1452,C4
SPRING1453,C2
SPRING1454,C6
SPRING1456,C6
SPRING1458,C5
SPRING1459,C7
SPRING1460,C3
SPRING1462,C1
SPRING1464,C1
SPRING1467,C7
SPRING1468,C1
SPRING1469,C6
SPRING1470,C2
SPRING1472,C2
SPRING1474,C7
SPRING1475,C5
SPRING1476,C3
SPRING1477,C7
SPRING1492,C5
SPRING1493,C3
SPRING1496,C3
SPRING1506,C2
SPRING1512,C3
SPRING1520,C1
SPRING1523,C2
SPRING1525,C3
SPRING1530,C7
SPRING1532,C2
SPRING1535,C7
SPRING1538,C2
SPRING1540,C3
SPRING1541,C5
SPRING1544,C7
SPRING1548,C4
SPRING1549,C2
SPRING1554,C1
SPRING1556,C1
SPRING1557,C7
SPRING1563,C5
SPRING1565,C3
SPRING1566,C3
SPRING1573,C2
SPRING1575,C3
SPRING1576,C3
SPRING1578,C4
SPRING1591,C3
SPRING1592,C5
SPRING1603,C7
SPRING1604,C3
SPRING1605,C5
SPRING1606,C3
SPRING1607,C1
SPRING1608,C7
SPRING1615,C4
SPRING1616,C7
SPRING1617,C4
SPRING1618,C1
SPRING1619,C3
SPRING1620,C7
SPRING1622,C5
SPRING1623,C1
SPRING1625,C1
SPRING1626,C3
SPRING1627,C6
SPRING1629,C1
SPRING1630,C3
SPRING1631,C3
SPRING1634,C3
SPRING1636,C3
SPRING1638,C7
SPRING1640,C7
SPRING1644,C1
SPRING1646,C2
SPRING1647,C3
SPRING1648,C2
SPRING1649,C7
SPRING1652,C5
SPRING1657,C4
SPRING1658,C6
SPRING1660,C1
SPRING1661,C2
SPRING1663,C7
SPRING1664,C2
SPRING1669,C2
SPRING1671,C2
SPRING1672,C3
SPRING1673,C3
SPRING1675,C5
SPRING1679,C2
SPRING1680,C1
SPRING1683,C7
SPRING1685,C2
SPRING1686,C1
SPRING1689,C2
SPRING1691,C3
SPRING1696,C2
