scan,cluster
SPRING4552,C3
SPRING4553,C5
SPRING4554,C1
SPRING4556,C3
SPRING4563,C3
SPRING4564,C1
SPRING4566,C6
SPRING4567,C1
SPRING4569,C1
SPRING4575,C1
SPRING4577,C2
SPRING4578,C5
SPRING4581,C1
SPRING4582,C1
SPRING4587,C2
SPRING4588,C6
SPRING4592,C2
SPRING4595,C3
SPRING4598,C3
SPRING4601,C3
SPRING4604,C3
SPRING4605,C5
SPRING4606,C7
SPRING4607,C1
SPRING4608,C3
SPRING4610,C5
SPRING4612,C3
SPRING4613,C4
SPRING4614,C1
SPRING4615,C6
SPRING4617,C1
SPRING4618,C2
SPRING4619,C6
SPRING4622,C7
SPRING4626,C4
SPRING4628,C3
SPRING4630,C3
SPRING4635,C3
SPRING4636,C2
SPRING4643,C1
SPRING4645,C1
SPRING4646,C1
SPRING4647,C2
SPRING4654,C2
SPRING4655,C6
SPRING4656,C2
SPRING4659,C2
SPRING4660,C5
SPRING4662,C2
SPRING4663,C6
SPRING4664,C7
SPRING4665,C2
SPRING4666,C3
SPRING4668,C2
SPRING4670,C1
SPRING4671,C1
SPRING4672,C1
SPRING4673,C3
SPRING4674,C4
SPRING4679,C3
SPRING4680,C1
SPRING4684,C3
SPRING4685,C3
SPRING4686,C3
SPRING4691,C3
SPRING4693,C4
SPRING4694,C1
SPRING4695,C3
SPRING4696,C3
SPRING4699,C1
SPRING4702,C7
SPRING4703,C1
SPRING4704,C2
SPRING4705,C1
SPRING4707,C7
SPRING4708,C3
SPRING4709,C1
SPRING4710,C1
SPRING4711,C3
SPRING4712,C2
SPRING4713,C2
SPRING4715,C2
SPRING4717,C2
SPRING4718,C1
SPRING4719,C2
SPRING4720,C1
SPRING4723,C3
SPRING4726,C3
SPRING4727,C2
SPRING4732,C2
SPRING4733,C1
SPRING4737,C5
SPRING4740,C3
SPRING4742,C3
SPRING4744,C6
SPRING4745,C7
SPRING4746,C1
SPRING4747,C2
SPRING4748,C2
SPRING4750,C1
SPRING4751,C4
SPRING4753,C5
SPRING4756,C3
SPRING4757,C3
SPRING4758,C1
SPRING4759,C4
SPRING4760,C5
SPRING4761,C1
SPRING4763,C1
SPRING4764,C4
SPRING4766,C3
SPRING4770,C1
SPRING4771,C3
SPRING4772,C5
SPRING4773,C7
SPRING4774,C3
SPRING4776,C5
SPRING4777,C4
SPRING4779,C1
SPRING4781,C6
SPRING4782,C3
SPRING4783,C1
SPRING4784,C2
SPRING4786,C2
SPRING4787,C2
SPRING4789,C5
SPRING4790,C3
SPRING4791,C2
SPRING4793,C7
SPRING4794,C2
SPRING4796,C2
SPRING4798,C2
