n_clusters,merge_height,davies_bouldin,silhouette,dunn
2,401.0465553554731,2.13321407788342,0.16816142605065929,0.1927418144309077
3,364.81589577521413,1.5628699826494437,0.21706761266575,0.23296210928281164
4,291.2922499983707,1.616880145336825,0.17641099144887665,0.18172115680849868
5,260.6311187754643,1.5248659219462144,0.16987758428385735,0.1866269005953691
6,246.32275752406997,1.4768097548729864,0.19531634852954474,0.23396372851827243
7,212.65324674250823,1.359403159509532,0.22226290834855705,0.23396372851827243
8,155.448357648725,1.3413298930539193,0.21382119026786647,0.2142258535995491
9,155.2068944142267,1.3875682620735592,0.19202704785517277,0.17534543600958155
10,152.9384343267208,1.3978238407813977,0.19744235290831189,0.18439974662232803
11,125.56142603545557,1.3866828663635884,0.200696761731753,0.18439974662232803
12,119.23516330691405,1.3562376077222742,0.19297586689480273,0.17437415991658484
13,118.096267268251,1.4123823324565292,0.18034179559851196,0.17437415991658484
14,116.55149502042404,1.4175110408025764,0.18037806400407663,0.17437415991658484
15,102.39689075602087,1.386495786588371,0.1669215953489388,0.1667296591240202
16,96.29441328736094,1.3465314162096904,0.1859855215953033,0.1667296591240202
17,92.14912076941296,1.3225712450150957,0.18409792542841594,0.1667296591240202
18,90.47279115953981,1.352282836023035,0.1773301018255142,0.14843191261939326
19,86.91287623674886,1.3765889230923347,0.17431657608172582,0.14843191261939326
20,86.78717480776764,1.3426949059009843,0.17849461010798637,0.17055637130715243
21,83.62701384817507,1.3556238641588152,0.1767183364828073,0.17055637130715243
22,77.36005412705694,1.3542255517315658,0.1793076606967979,0.17055637130715243
23,76.0411381872856,1.3181755484574733,0.1882631043071709,0.17055637130715243
24,72.25132867547136,1.3318857690604056,0.18666800136679837,0.17055637130715243
25,70.40323086032078,1.304227147856239,0.19392898176656354,0.18263575733362308
26,67.36924159433102,1.2991983572189876,0.1938279787453116,0.18263575733362308
27,66.1862108517156,1.3130224131993729,0.18941623771135296,0.18263575733362308
28,66.0896586177967,1.3090552567990719,0.19349481533582402,0.18263575733362308
29,65.29287202965675,1.2806968806961094,0.20118107979148805,0.18263575733362308
