n_clusters,merge_height,davies_bouldin,silhouette,dunn
2,495.22019618362935,0.22271366913477242,0.7909628332036598,1.816600521668477
3,291.2087593350238,1.0142414477769686,0.37726602265477105,0.2326605514297834
4,222.29980189240905,2.135235137652566,0.1972490894545953,0.06719605198573365
5,211.33713673015714,1.8553664549253774,0.2669168610059625,0.10351451907315609
6,205.94889714040167,1.7982973252099228,0.23635829938712594,0.11857655260700585
7,197.01812928912858,1.7619426704382402,0.2135602272990504,0.13242576858096966
8,185.40882485441358,1.722691872979208,0.1981572742260008,0.13467643304800905
9,156.64126627179016,1.7315154369511028,0.19129781054448822,0.13233713047184964
10,150.41801685066682,1.7432064774520217,0.17351343530567329,0.1268394284492327
11,134.53580623884727,1.778896749992851,0.15224961343822038,0.11335525916760383
12,131.4795476020882,1.7445290349574452,0.13321428005532504,0.11710261707216406
13,115.39111450564553,1.7756440249902936,0.12816531690154684,0.11710261707216406
14,114.77507757311558,1.7472063760712027,0.13555759216497507,0.11710261707216406
15,110.23810673587009,1.7020437626631066,0.13846100224942523,0.11710261707216406
16,106.2552992778874,1.7136440893227198,0.1348197678053343,0.11710261707216406
17,102.40807395677167,1.7126714921078343,0.1325400680151411,0.11710261707216406
18,94.85460510740229,1.6946840550365685,0.12394137505327513,0.1143938795811383
19,94.03214910710362,1.7252464426805496,0.12326242341512325,0.1143938795811383
20,87.89712532314005,1.7819086468700178,0.10364554805465502,0.1007444126985673
21,86.72873949228432,1.747634930730193,0.11233804319622968,0.1007444126985673
22,83.35308734311374,1.805116556743104,0.10559475662470387,0.09806545147334737
23,82.96100088735156,1.7709123889733365,0.10293031714352803,0.09806545147334737
24,82.13238848386293,1.7279311457801683,0.11185406935488451,0.09806545147334737
25,79.84191188256663,1.696782045453316,0.11731204834687253,0.09806545147334737
26,79.61961589066246,1.6286777888522759,0.09803474971386272,0.1448046193387708
27,74.84967841644956,1.6333445859229752,0.097269232686287,0.1448046193387708
28,74.0553849015237,1.6522351461345868,0.10057513390685326,0.1448046193387708
29,70.83059393767358,1.6932667636842824,0.09656140249300948,0.1448046193387708
