cluster,size,proportion_pct,mean_distance,diameter,distance_to_mean,distance_mean_medoid,medoid
C1,306,20.039292730844792,14.184888974429224,36.62651156418519,10.065255959777796,3.4347191305691753,SPRING0522
C2,263,17.22331368696791,12.707232764077666,32.03630518196731,9.044022987167493,3.390571014359527,SPRING2018
C3,403,26.39161755075311,14.141272518805161,32.07170516701307,10.104409190908216,4.4999241446975,SPRING1604
C4,107,7.007203667321545,14.288393052164162,31.889056239970294,10.1493448272516,3.314630701110619,SPRING0174
C5,122,7.9895219384413885,13.978996334570269,38.17693322948127,9.915646514612975,3.5572976933294616,SPRING1076
C6,112,7.33464309102816,18.95465996868667,59.34287317346245,13.33501479748641,5.895694234340433,SPRING4507
C7,214,14.01440733464309,21.271066491482223,62.440943091235326,14.847997989570821,5.216093886718301,SPRING1174
