representation,method,k,gdi
silhouette_body,kmeans,10,0.7769028871391076
silhouette_body,kmeans,11,0.7788713910761155
silhouette_body,kmeans,12,0.723753280839895
silhouette_body,kmeans,13,0.7696850393700787
silhouette_body,kmeans,14,0.7454068241469817
silhouette_body,kmeans,15,0.7401574803149606
silhouette_body,kmeans,16,0.7086614173228346
silhouette_body,kmeans,17,0.7349081364829396
silhouette_body,kmeans,18,0.7598425196850394
silhouette_body,kmeans,19,0.7473753280839895
silhouette_body,kmeans,20,0.7335958005249343
silhouette_body,kmeans,21,0.7434383202099738
silhouette_body,kmeans,22,0.7335958005249343
silhouette_body,kmeans,23,0.734251968503937
silhouette_body,kmeans,24,0.770997375328084
silhouette_body,kmeans,25,0.739501312335958
silhouette_body,kmeans,26,0.7526246719160105
silhouette_body,kmeans,27,0.7480314960629921
silhouette_body,kmeans,28,0.7421259842519685
silhouette_body,kmeans,29,0.7755905511811023
silhouette_body,kmeans,30,0.7539370078740157
silhouette_body,kmedoids,2,0.37729658792650916
silhouette_body,kmedoids,3,0.5492125984251969
silhouette_body,kmedoids,4,0.6200787401574803
silhouette_body,kmedoids,5,0.7316272965879265
silhouette_body,kmedoids,6,0.7742782152230971
silhouette_body,kmedoids,7,0.7703412073490814
silhouette_body,kmedoids,8,0.7782152230971129
silhouette_body,kmedoids,9,0.7788713910761155
silhouette_body,kmedoids,10,0.7828083989501314
silhouette_body,kmedoids,11,0.7769028871391076
silhouette_body,kmedoids,12,0.7585301837270341
silhouette_body,kmedoids,13,0.7401574803149606
silhouette_body,kmedoids,14,0.7335958005249343
silhouette_body,kmedoids,15,0.744750656167979
silhouette_body,kmedoids,16,0.7408136482939632
silhouette_body,kmedoids,17,0.7375328083989501
silhouette_body,kmedoids,18,0.739501312335958
silhouette_body,kmedoids,19,0.739501312335958
silhouette_body,kmedoids,20,0.760498687664042
silhouette_body,kmedoids,21,0.765748031496063
silhouette_body,kmedoids,22,0.7664041994750657
silhouette_body,kmedoids,23,0.7723097112860893
silhouette_body,kmedoids,24,0.7690288713910761
silhouette_body,kmedoids,25,0.7729658792650919
silhouette_body,kmedoids,26,0.7906824146981627
silhouette_body,kmedoids,27,0.781496062992126
silhouette_body,kmedoids,28,0.7775590551181102
silhouette_body,kmedoids,29,0.7736220472440944
silhouette_body,kmedoids,30,0.770997375328084
wasserstein_trunk,complete,2,0.010498687664042003
wasserstein_trunk,complete,3,0.010498687664042003
wasserstein_trunk,complete,4,0.057742782152231005
wasserstein_trunk,complete,5,0.05839895013123363
wasserstein_trunk,complete,6,0.08661417322834641
wasserstein_trunk,complete,7,0.08661417322834641
wasserstein_trunk,complete,8,0.11811023622047243
wasserstein_trunk,complete,9,0.11811023622047243
wasserstein_trunk,complete,10,0.11876640419947505
wasserstein_trunk,complete,11,0.11942257217847767
wasserstein_trunk,complete,12,0.11942257217847767
wasserstein_trunk,complete,13,0.11942257217847767
wasserstein_trunk,complete,14,0.11942257217847767
wasserstein_trunk,complete,15,0.11942257217847767
wasserstein_trunk,complete,16,0.14566929133858267
wasserstein_trunk,complete,17,0.21456692913385828
wasserstein_trunk,complete,18,0.2152230971128609
wasserstein_trunk,complete,19,0.2152230971128609
wasserstein_trunk,complete,20,0.223753280839895
wasserstein_trunk,complete,21,0.2683727034120735
wasserstein_trunk,complete,22,0.2690288713910761
wasserstein_trunk,complete,23,0.2690288713910761
wasserstein_trunk,complete,24,0.2690288713910761
wasserstein_trunk,complete,25,0.458005249343832
wasserstein_trunk,complete,26,0.458005249343832
wasserstein_trunk,complete,27,0.458005249343832
wasserstein_trunk,complete,28,0.458005249343832
wasserstein_trunk,complete,29,0.458005249343832
wasserstein_trunk,complete,30,0.458005249343832
wasserstein_trunk,ward,2,0.045931758530183706
wasserstein_trunk,ward,3,0.14435695538057738
wasserstein_trunk,ward,4,0.14435695538057738
wasserstein_trunk,ward,5,0.14435695538057744
wasserstein_trunk,ward,6,0.14435695538057747
wasserstein_trunk,ward,7,0.14435695538057747
wasserstein_trunk,ward,8,0.2650918635170604
wasserstein_trunk,ward,9,0.3746719160104987
wasserstein_trunk,ward,10,0.3746719160104987
wasserstein_trunk,ward,11,0.49081364829396323
wasserstein_trunk,ward,12,0.6515748031496063
wasserstein_trunk,ward,13,0.6515748031496063
wasserstein_trunk,ward,14,0.6673228346456693
wasserstein_trunk,ward,15,0.6673228346456693
wasserstein_trunk,ward,16,0.6673228346456693
wasserstein_trunk,ward,17,0.6673228346456693
wasserstein_trunk,ward,18,0.7513123359580053
wasserstein_trunk,ward,19,0.7519685039370079
wasserstein_trunk,ward,20,0.7519685039370079
wasserstein_trunk,ward,21,0.7519685039370079
wasserstein_trunk,ward,22,0.7519685039370079
wasserstein_trunk,ward,23,0.7519685039370079
wasserstein_trunk,ward,24,0.7519685039370079
wasserstein_trunk,ward,25,0.7519685039370079
wasserstein_trunk,ward,26,0.7519685039370079
wasserstein_trunk,ward,27,0.7519685039370079
wasserstein_trunk,ward,28,0.7591863517060368
wasserstein_trunk,ward,29,0.7591863517060368
wasserstein_trunk,ward,30,0.7591863517060368
wasserstein_trunk,kmedoids,2,0.01968503937007872
wasserstein_trunk,kmedoids,3,0.17125984251968507
wasserstein_trunk,kmedoids,4,0.11614173228346461
wasserstein_trunk,kmedoids,5,0.14829396325459318
wasserstein_trunk,kmedoids,6,0.14304461942257218
wasserstein_trunk,kmedoids,7,0.42782152230971127
wasserstein_trunk,kmedoids,8,0.4376640419947507
wasserstein_trunk,kmedoids,9,0.3943569553805774
wasserstein_trunk,kmedoids,10,0.6069553805774278
wasserstein_trunk,kmedoids,11,0.7460629921259843
wasserstein_trunk,kmedoids,12,0.666010498687664
wasserstein_trunk,kmedoids,13,0.6528871391076115
wasserstein_trunk,kmedoids,14,0.7198162729658792
wasserstein_trunk,kmedoids,15,0.7191601049868767
wasserstein_trunk,kmedoids,16,0.699475065616798
wasserstein_trunk,kmedoids,17,0.7263779527559056
wasserstein_trunk,kmedoids,18,0.7283464566929134
wasserstein_trunk,kmedoids,19,0.6587926509186351
wasserstein_trunk,kmedoids,20,0.6850393700787402
wasserstein_trunk,kmedoids,21,0.7276902887139107
wasserstein_trunk,kmedoids,22,0.7093175853018373
wasserstein_trunk,kmedoids,23,0.7296587926509186
wasserstein_trunk,kmedoids,24,0.75
wasserstein_trunk,kmedoids,25,0.7454068241469817
wasserstein_trunk,kmedoids,26,0.7480314960629921
wasserstein_trunk,kmedoids,27,0.7664041994750657
wasserstein_trunk,kmedoids,28,0.7624671916010499
wasserstein_trunk,kmedoids,29,0.7355643044619422
wasserstein_trunk,kmedoids,30,0.7480314960629921
silhouette_trunk,ward,2,0.01246719160104985
silhouette_trunk,ward,3,0.01246719160104985
silhouette_trunk,ward,4,0.1725721784776902
silhouette_trunk,ward,5,0.8326771653543307
silhouette_trunk,ward,6,0.8458005249343832
silhouette_trunk,ward,7,0.8458005249343832
silhouette_trunk,ward,8,0.8458005249343832
silhouette_trunk,ward,9,0.8458005249343832
silhouette_trunk,ward,10,0.8458005249343832
silhouette_trunk,ward,11,0.8458005249343832
silhouette_trunk,ward,12,0.8458005249343832
silhouette_trunk,ward,13,0.8458005249343832
silhouette_trunk,ward,14,0.8458005249343832
silhouette_trunk,ward,15,0.8458005249343832
silhouette_trunk,ward,16,0.8458005249343832
silhouette_trunk,ward,17,0.8458005249343832
silhouette_trunk,ward,18,0.8458005249343832
silhouette_trunk,ward,19,0.8458005249343832
silhouette_trunk,ward,20,0.8458005249343832
silhouette_trunk,ward,21,0.8458005249343832
silhouette_trunk,ward,22,0.8458005249343832
silhouette_trunk,ward,23,0.8458005249343832
silhouette_trunk,ward,24,0.8458005249343832
silhouette_trunk,ward,25,0.8458005249343832
silhouette_trunk,ward,26,0.8464566929133859
silhouette_trunk,ward,27,0.8464566929133859
silhouette_trunk,ward,28,0.8497375328083989
silhouette_trunk,ward,29,0.8497375328083989
silhouette_trunk,ward,30,0.8497375328083989
silhouette_trunk,kmeans,2,0.011154855643044614
silhouette_trunk,kmeans,3,0.01246719160104985
silhouette_trunk,kmeans,4,0.3110236220472441
silhouette_trunk,kmeans,5,0.797244094488189
